Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status,Metafield: custom.details[list.single_line_text_field]
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-ares-pantheon-back.png,3,Ares Pantheon Oversized Tee — Image 3,,,,,,,
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-ares-pantheon-side.png,4,Ares Pantheon Oversized Tee — Image 4,,,,,,,
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-ares-pantheon-lifestyle.jpg,5,Ares Pantheon Oversized Tee — Image 5,,,,,,,
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-ares-pantheon-chest.png,6,Ares Pantheon Oversized Tee — Image 6,,,,,,,
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-ares-pantheon-detail.png,7,Ares Pantheon Oversized Tee — Image 7,,,,,,,
man-of-god,Man of God,"<p>Train with faith, recover with discipline. The Man of God tee carries two truths &mdash; the quiet conviction of the front, and the raw identity of the back: GYMRAT. Because the most disciplined people in history rose before dawn, did the work, and answered to something greater than results. This is for them.</p><ul><li>Relaxed oversized drop-shoulder fit</li><li>Premium performance fabric &mdash; moisture wicking &amp; breathable</li><li>Man of God chest wordmark</li><li>GYMRAT arch print on reverse</li></ul>",Ares Pantheon,,Apparel,Oversized,TRUE,Size,S,Color,Obsidian,,,MAN-OF-GOD-S-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-man-of-god.png,1,Man of God — Image 1,FALSE,,,,lb,active,"[""Relaxed oversized drop-shoulder fit"", ""Premium performance fabric — moisture wicking & breathable"", ""Man of God chest wordmark"", ""GYMRAT arch print on reverse""]"
man-of-god,,,,,,,,Size,M,Color,Obsidian,,,MAN-OF-GOD-M-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
man-of-god,,,,,,,,Size,L,Color,Obsidian,,,MAN-OF-GOD-L-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
man-of-god,,,,,,,,Size,XL,Color,Obsidian,,,MAN-OF-GOD-XL-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
man-of-god,,,,,,,,Size,XXL,Color,Obsidian,,,MAN-OF-GOD-XXL-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
man-of-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-gymrat.png,2,Man of God — Image 2,,,,,,,
man-of-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-man-of-god-flatlay.png,3,Man of God — Image 3,,,,,,,
man-of-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-man-of-god-lifestyle.png,4,Man of God — Image 4,,,,,,,
man-of-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-man-of-god-chest.png,5,Man of God — Image 5,,,,,,,
man-of-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-man-of-god-gymrat.jpg,6,Man of God — Image 6,,,,,,,
man-of-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-man-of-god-detail.png,7,Man of God — Image 7,,,,,,,
